Year=2015
Centerboard Classes	NAPY	D-PN	Wind HC For Handicap Range
Code		0-1	2-3	4	5-9
14 (Int.)	14	85.3	86.9	85.4	84.2	84.1
29er	29	84.5	(85.8)	84.7	83.9	(78.9)
405 (Int.)	405	89.9		(89.2)		
420 (Int. or Club)	420	97.6	103.4	100.0	95.0	90.8
470 (Int.)	470	86.3	91.4	88.4	85.0	82.1
49er (Int.)	49	68.2		69.6		
505 (Int.)	505	79.8	82.1	80.9	79.6	78.0
A Scow	A-SC	61.3	[63.2]	62.0	[56.0]	
Akroyd	AKR	99.3	(97.7)	99.4	[102.8]	
Albacore (15')	ALBA	90.3	94.5	92.5	88.7	85.8
Alpha	ALPH	110.4	(105.5)	110.3	110.3	
Alpha One	ALPHO	89.5	90.3	90.0	[90.5]	
Alpha Pro	ALPRO	(97.3)		(98.3)		
American 14.6	AM-146	96.1		96.5		
American 16	AM-16	103.6	(110.2)	105.0		
American 18	AM-18	[102.0]				
Apollo C/B (15’9?)	APOL	92.4	96.6	94.4	(90.0)	(89.1)
Aqua Finn	AQFN	106.3		106.4		
Arrow 15	ARO15	(96.7)		(96.4)		
B14	B14	(81.0)		(83.9)		
Bandit (Canadian)	BNDT	98.2		(100.2)		
Bandit 15	BND15	97.9	100.7	98.8	96.7	[96.7]
Bandit 17	BND17	(97.0)	[101.6]	(99.5)		
Banshee	BNSH	93.7	95.9	94.5	92.5	[90.6]
Barnegat 17	BG-17	100.3		100.9		
Barnegat Bay Sneakbox	B16F	110.6		110.5	[107.4]	
Barracuda	BAR	(102.0)		(100.0)		
Beetle Cat (12’4?, Cat Rig)	BEE-C	120.6	(121.7)	119.5	118.8	
Blue Jay	BJ	108.6	110.1	109.5	107.2	(106.7)
Bombardier 4.8	BOM4.8	94.9	[97.1]	96.1		
Bonito	BNTO	122.3	(128.5)	(122.5)		
Boss w/spi	BOS	74.5		75.1		
Buccaneer 18' spi (SWN18)	BCN	86.9	89.2	87.0	86.3	85.4
Butterfly	BUT	108.3	110.1	109.4	106.9	106.7
Buzz	BUZ	80.5		81.4		
Byte	BYTE	97.4	97.7	97.4	96.3	[95.3]
Byte CII	BYTE2	(91.4)	[91.7]	[91.6]	[90.4]	[89.6]
C Scow	C-SC	79.1	81.4	80.1	78.1	77.6
Canoe (Int.)	I-CAN	79.1	[81.6]	79.4	(79.0)	
Canoe 4 Mtr	4-CAN	121.0		121.6		
Canoe 4 Mtr (ACA Cl.)	4-CAN2	(118.4)		(120.2)		
Canoe 5 Mtr	5-CAN	110.6	(109.0)	111.9		
Capri (see Catalina)						
Caprice	CPR	102.4	[103.1]	103.7		
Catalina 13 (Capri)	CAT13	92.1	94.0	92.5	(90.4)	
Catalina 14.2 (Capri)	CAT142	99.4	100.1	99.7	99.2	
Catalina 14.2 Keel (Capri	CAT142K	(100.5)				
Catalina 16.5 (Capri) no spi	CAT165	96.3	97.1	95.9	94.9	
Catalina Expo 12.5	CAT125	(102.0)		(101.0)		
Celebrity w/Genoa	CEL	90.2	93.8	90.4	89.0	[87.6]
Challenger 15	CHL15	91.7		93.6		
CL 14	CL14	101.2	103.3	101.7	100.3	94.4
CL 16	CL16	95.7	98.0	96.8	95.1	93.6
C-Lark	C-LK	96.7	96.8	96.9	96.6	96.0
Club Junior	CFJ	102.5	(105.5)	(103.0)		
Code 40	COD40	93.5		(94.0)		
Comet	CM	91.7	95.2	92.1	89.7	88.7
Contender (Int.)	CND	90.1	95.9	91.0	82.0	
Coronado 15	COR15	91.9	92.7	92.6	91.5	90.4
Cyclone 13	CLN13	101.0	102.0	100.5	(100.3)	
Cyclone 13 (SA=74)	CLN132	96.9	(98.7)	97.2	(95.6)	
D Scow	D-SC	82.7		81.4	[82.0]	
Dabchick	DABCK	122.5	128.6	123.4		
Dagger	DGER	94.9	97.2	94.7	(91.3)	
